# [Qlmin, Qlcent, Qlmax]
1.291646599856930699e-01,1.960000000000000075e-01,2.604898955174856923e-01
2.659119914361512613e-02,5.700000000000000205e-02,8.632896417009226775e-02
8.586847263264103802e-02,1.121999999999999942e-01,1.331569957663471249e-01
-1.311614174148669487e-01,-7.799999999999999989e-02,-2.693608342411715068e-02
-2.579818805946757498e-01,-1.804999999999999938e-01,-1.163271860756831255e-01
3.166849842792174297e-01,3.844000000000000195e-01,4.450708182099661347e-01
-2.382012846105752424e-01,-1.723000000000000087e-01,-1.043019070232394790e-01
-8.286762090207885900e-02,-4.839999999999999858e-02,-1.261303346065162367e-02
-1.159048396039894929e-01,-8.699999999999999400e-02,-5.197851337548527184e-02
2.765515804314121195e-02,7.879999999999999505e-02,1.319515294759091850e-01
1.283785598720850740e-01,1.910000000000000031e-01,2.656587726889348966e-01
-3.715236912312067652e-01,-3.130000000000000004e-01,-2.506131101655679205e-01
# Rows:_Qik e_Qki_|Qik->_Q12_Q13_Q15_Q23_Q34_Q45
